labels,text,prob_emotion,emotion
guilt,I caught a close relative with the servant of the house. ,"[0.9205906887849171, 0.804454540212949, 0.8009283691644669, 0.9067269215981166, 0.32850998515884083, 0.5089192409068346, 0.8811936378479004]",anger
joy,When I passed my form three exams. ,"[0.09285429399460554, 0.016271001426503062, 0.09961454236569504, 0.22357461353143057, 0.9570156534512837, 0.08552834360549846, 0.029416531984073423]",joy
fear,The time I was threatened with expulsion from secondary school (form four). ,"[0.9385426839192708, 0.8595154260595639, 0.970911368727684, 0.8419372290372849, 0.35492343199439347, 0.8107773500184219, 0.9212407171726227]",fear
anger,When I discovered that the people I trusted most were talking behind my back. ,"[0.9102366616328557, 0.8172776624560356, 0.9141400158405304, 0.9104378471771877, 0.14756433320386955, 0.8785613030195236, 0.9355893979469936]",shame
sadness,When I heard about the death of my aunt. ,"[0.623191590110461, 0.6177172816048067, 0.7368687440951665, 0.736880362033844, 0.36153958935756236, 0.9423814018567402, 0.6362234205007553]",sadness
disgust,When my brother promised me money but he failed to fulfill the promise. ,"[0.8608904977639515, 0.8061725820104282, 0.8213279098272324, 0.9071411887804668, 0.09469936098321341, 0.9012870192527771, 0.859477957089742]",guilt
shame,I was running in front of a crowd when I slipped and fell on a wet lawn. ,"[0.77710356314977, 0.701044637709856, 0.9289302031199138, 0.8998293330272038, 0.14087579220843813, 0.828848513464133, 0.9172771275043488]",fear
guilt,When I took drugs. ,"[0.13983429192254943, 0.23155050740266842, 0.3034465584593515, 0.7083582878112793, 0.21941890249339244, 0.0967886565097918, 0.4497963500519594]",guilt
joy,"As the time to get the results drew near I became more and more anxious. My friend called me and said, "" You have passed. "" My heart was full of joy. ","[0.0011971815110882744, 0.0038225892737197378, 0.4274768135413372, 0.14477023721459167, 0.9473642508188884, 0.0011054529653241238, 0.04984050506997543]",joy
fear,I watched a very terrfying film in LT. This film really pushed my heart out of my body and I was forced to go out before the second reel ended. ,"[0.4682626048743259, 0.3317878384841606, 0.9778910428285599, 0.6099502046902974, 0.26367142162052915, 0.7703055540720622, 0.40970110532362014]",fear
anger,""" I have been hearing rumours that you have not been allowing people in your room,"" he said. This sentence really shot my heart. I failed to find the right words, instead I walked away without uttering a word. ","[0.38169501372613013, 0.41523486127456033, 0.8171354333559673, 0.7359550595283508, 0.35226432043903816, 0.867226945857207, 0.6161953831712406]",sadness
sadness,"One Saturday morning I had got ready to go out swimming with my friends. Unfortunately the weather did not permit it, so we stayed indoors. ","[0.4786805311838786, 0.40581143336991465, 0.6198137501875559, 0.7203904539346695, 0.23065303793797892, 0.8223636746406555, 0.7393100907405217]",sadness
disgust,"One day I went to town to get my grocery. On my way back, I took a mini bus which was full of drunk students. I felt very disgusted. ","[0.9151263932387035, 0.964360033472379, 0.41777651524171233, 0.5154341881473858, 0.3241423209450052, 0.11781085872401793, 0.8711431523164113]",disgust
shame,"I had gone to aa bookshop to buy some books. Somehow, I got very cross with the security guard checking through what I had bought. I lost my temper and screamed at him. Later I felt very ashamed at myself as a lot of people I know were there. ","[0.9818364332119625, 0.923306941986084, 0.6619993212322394, 0.9629830171664555, 0.11274239071644843, 0.7012765351682901, 0.9860116640726726]",shame
guilt,"I remember deceiving my brother, I told him that I was going to attend the Sunday service, instead I went out to the town with a friend. ","[0.7147647440433502, 0.652501751979192, 0.4505083772043387, 0.9305022309223812, 0.364412037966152, 0.19950126484036446, 0.893262505531311]",guilt
joy,"When I heard that a close relative of mine had given birth at a very young age, in a very remote area and had had very few problems. ","[0.3921817118922869, 0.22280975338071585, 0.5631336544950803, 0.6294914533694584, 0.7460992932319641, 0.7017002763847511, 0.4508107776443163]",joy
fear,The possibility of having failed the examination. ,"[0.7250272333621979, 0.65922291452686, 0.9272107978661854, 0.8045053854584694, 0.052845914770538606, 0.7979965371390183, 0.8922413835922878]",fear
anger,When someone chased me from his house. ,"[0.932804415623347, 0.8944275627533596, 0.9479506363471348, 0.841333066423734, 0.18435339257121086, 0.6866327325503032, 0.8594293892383575]",fear
sadness,When I realized that I did not have the basic things needed by a student like me. ,"[0.642506333688895, 0.619572803998987, 0.771460195382436, 0.7708944181601207, 0.021980754672161613, 0.8259406685829163, 0.8078085084756215]",sadness
disgust,"When some people, including me, are treated in a way which equates them to an animal or a thing. ","[0.7942137320836384, 0.8560007214546204, 0.6436535716056824, 0.6205303923537333, 0.02687845867088375, 0.7023954465985298, 0.8370086600383122]",disgust
shame,"When someone I know was caught in an ""adultery"" situation. ","[0.7726283669471741, 0.8349533329407375, 0.8302101989587147, 0.8424962361653645, 0.12004516545372705, 0.7644749606649082, 0.836534430583318]",guilt
guilt,When I did something wrong in the past and denied having done it when asked about it later. ,"[0.6187381446361542, 0.7008334298928578, 0.6786552394429843, 0.8768945684035618, 0.1312675893617173, 0.564397681504488, 0.8569129854440689]",guilt
joy,"My girlfriend wrote to me telling me that she was four months pregnant and that I was responsible for the ""damages"". This made me happy as I longed to have a child to call mine. ","[0.001979691005544737, 0.009322408552786024, 0.044335937253587566, 0.6258571251431324, 0.9177427440881729, 0.0029527888448986537, 0.06942714527637386]",joy
fear,"The shooting started and we all lay down to protect ourselves from the flying bullets. This incident occured on our way to Feira, during the Zambia army patrols in the Rhodesia war. ","[0.7355497231086094, 0.7644368708133698, 0.9871603896220524, 0.6390799830357234, 0.2340789797308389, 0.3233957588672638, 0.4880369119346142]",fear
anger,"I went to the dining hall and found that the cooks were cleaning the plates and there was no food for me, and the blue birds (security guards) were busy eating the food that was supposed to be for me. ","[0.9520350744326909, 0.9020927051703136, 0.9378061691919963, 0.9295543779929478, 0.08245560911018401, 0.9599074920018513, 0.9507218102614086]",sadness
sadness,"That afternoon I received two messages informing me, one that my brother was in a coma in the U. T. H suffering (kidney disease) and two, that my uncle met with an accident on his way to the hospital to see my brother. ","[0.7728600303332012, 0.6703791320323944, 0.9115741848945618, 0.851425975561142, 0.22609286132501438, 0.9502193629741669, 0.7378963033358257]",sadness
disgust,This happened when I went to visit my friend in Chelston and found him screwing my girlfriend. ,"[0.9447854608297348, 0.9252680242061615, 0.9105373819669087, 0.9413021951913834, 0.2121483424368004, 0.8577642738819122, 0.9222502112388611]",anger
shame,When I walked out of my room with only my pants on and found my girlfriend and her female friend looking for me outside. ,"[0.7862720439831417, 0.6359917217244704, 0.8545457522074382, 0.8947373280922573, 0.5926300622522831, 0.7114637854198615, 0.9067122787237167]",shame
guilt,My father caught me having sexual intercourse with my closest cousin. There was nothing wrong with it but the female was too old for me. ,"[0.5624361261725426, 0.32827609591186047, 0.6260019093751907, 0.7036080161730449, 0.2942862470323841, 0.5116379279643297, 0.6959192529320717]",guilt
joy,"When a girl I wanted very much, said ""yes"" and fell in love with me. ","[0.004668568163954964, 0.0072883118167131515, 0.047742798031928636, 0.20318413091202578, 0.9405613740285237, 0.012487293269562846, 0.06680275152029935]",joy
fear,"One evening, when I had gone fishing with my friends, we heard the roar of a lion near by and had to run for our lives. ","[0.8532217244307201, 0.8383574187755585, 0.9897789657115936, 0.8431106309096019, 0.5636385055064844, 0.6894369453657418, 0.6338889598846436]",fear
anger,When somebody stole my brother's disco machine. ,"[0.958959514896075, 0.8951860194404919, 0.9262968103090923, 0.9567447503407795, 0.2509544993129869, 0.9064116974671681, 0.9108279446760814]",anger
sadness,When my uncle died. ,"[0.6995350966850917, 0.6570432297885418, 0.8005714515844982, 0.825336366891861, 0.44575437251478434, 0.9606810857852299, 0.7131445209185283]",sadness
disgust,A class-mate answered (accidentally) the call of nature in the class during a tough mathematics examination. ,"[0.7365827535589535, 0.5681729695449272, 0.6699874500433605, 0.7963233292102814, 0.2156867051186661, 0.6009839065372944, 0.8253040537238121]",shame
shame,I was double crossing my fiancee and one day she caught me red handed. She forgave me later. I was very ashamed of what I had done. ,"[0.5562466525783142, 0.9081793675820033, 0.7627987861633301, 0.9603643318017323, 0.3921264485300829, 0.8441223328312237, 0.9877125124136608]",shame
guilt,"I took some money from my parent's house without asking them for it, and I was caught red handed. ","[0.8627861390511196, 0.7899276564518611, 0.8829413553078969, 0.9576095342636108, 0.048135810085417084, 0.7392572574317455, 0.9378485629955928]",guilt
joy,I was very happy when I discovered that I had passed my first year examination and was among the thirty students who would major in economics. ,"[0.0006388916250822756, 0.004308724511550584, 0.018348251775023527, 0.1316613045273698, 0.961157704393069, 0.0007085180938399087, 0.032019184766492494]",joy
fear,I was approaching my exam time and my books got stolen. I was in a panic as I thought that I would not do well enough to be considered for the economics quota. I cried a lot but that did not help and as the exam day came near a strange fear gripped me. ,"[0.0035074295786519842, 0.265728479619914, 0.9541310767332714, 0.2904244990398487, 0.03925165440887213, 0.3756359106240173, 0.1350225446900974]",fear
anger,"I was annoyed this particular day as it seemad that the odds were not in my favour. My grandfather added fuel to the fire, when I had an important appointment so I unleashed my anger on him. ","[0.9448493768771489, 0.5841900731126467, 0.1205823157215491, 0.24510167575984573, 0.057624591742448196, 0.0831368303236862, 0.08233251843679076]",anger
sadness,"It was the time I went home for my holidays only to find that my sister had passed away. The news had been hidden from me, so that I could take my exams. ","[0.8029915342728298, 0.7845531900723774, 0.9233112583557765, 0.9182536453008652, 0.31844304494249326, 0.971911941965421, 0.8397497932116191]",sadness
disgust,When I discovered that my mother had been involved in adultery. ,"[0.9027674545844395, 0.8709578265746434, 0.88520447909832, 0.9113193899393082, 0.39922237846379477, 0.8624594261248906, 0.8859835316737492]",guilt
shame,"I was caught stealing food at my aunt's place. I had tried to hide the food I had taken from the pantry while my aunt was in the kitchen, however she went to the pantry and discovered the stolen package. ","[0.9190668066342671, 0.8806254665056865, 0.9482888728380203, 0.9674479017655055, 0.05401321983663365, 0.8576971193154652, 0.9637673199176788]",guilt
guilt,Dad had just married his second wife (my step-mother) and I did not like her so I went to the wardrobe and set fire to her dresses. Eveyone suspected my brother and he had to bear the consequences. Nobody ever got to know that it was me who had done it. ,"[0.9500853717327118, 0.916891021033128, 0.6614367241660755, 0.8384983092546463, 0.23063622880727053, 0.23792484744141498, 0.8042857994635899]",anger
joy,When I was accepted at UNZA. ,"[0.058103050726155445, 0.012934244276645284, 0.16567610731969276, 0.26294123070935405, 0.9336405893166859, 0.05563601991161704, 0.04507495230063796]",joy
fear,When I heard a lion roar for the first time. ,"[0.7170911272987723, 0.2966318912804127, 0.8475744972626369, 0.1687288056127727, 0.8948128521442413, 0.029747147481733315, 0.07753190281800926]",joy
anger,"When a friend told me that my education had nothing to do with our discussion. This friend has failed the th grade, what made me angry was that I had not used my education to argue. ","[0.8930083314577739, 0.2752011605383207, 0.016344260385570426, 0.45721960502366227, 0.1750458064392054, 0.013146416822564788, 0.155160158018892]",anger
sadness,When my beloved grandfather died. ,"[0.5309003888978623, 0.25496251014070975, 0.7603151152531307, 0.7830463349819183, 0.5038230491336435, 0.9727443953355153, 0.6024178912242254]",sadness
disgust,I was disgusted at the university wanting some of us to travel from our homes to the lectures here every day. The way the whole thing was handled disgusted me. ,"[0.9650167276461918, 0.9942787537972133, 0.9692164212465286, 0.949750726421674, 0.6459853652243813, 0.9556684096654255, 0.9781266897916794]",disgust
shame,"When I was leaving home I decided to leave without saying good-bye to my young brother. My brother saw me and said, "" Will you not say good-bye to me? "" He is only / years old. ","[0.7981065412362416, 0.5704402687648932, 0.7349760631720226, 0.8197490920623143, 0.36700745470200974, 0.7996658037106197, 0.8037709792455037]",guilt
guilt,When I cheated my father about the book allowance at university. He discovered that we were given K per year for books. ,"[0.8317115853230159, 0.6699453170100849, 0.5886073807875316, 0.8936963925758998, 0.1381420916877687, 0.5477515322466692, 0.8726716488599777]",guilt
joy,I experienced joy when I got the results - I had made it to the second year. ,"[0.0004660932463593781, 0.0005380221749267852, 0.0022799171856604517, 0.02864029087747137, 0.9790275692939758, 0.000436814792919904, 0.0008511064418902]",joy
fear,"When I was going home, I saw somathing which looked like a snake on the road but later I found out that it was only a stick. ","[0.5595906948049862, 0.6629700039823849, 0.8749245951573055, 0.7415977666775386, 0.1621467851412793, 0.5557406979302565, 0.7640430927276611]",fear
anger,"This happened recently, I was in the dining hall and one of my friends with whom I was eating called me a fool. ","[0.8649408916632335, 0.8520540744066238, 0.7131481717030208, 0.8125928938388824, 0.23483069380745292, 0.6078405502873162, 0.9606959323088329]",shame
sadness,I experienced this when my maternal grandmother passed away. She was the last of my grand parents to pass away. ,"[0.44614098966121674, 0.44098857417702675, 0.6482141762971878, 0.6428060655792553, 0.4388872478157282, 0.8845644940932591, 0.5107006207108498]",sadness
disgust,"This happened when I could not get into the school I had initially wanted, and ended up doing something I had never thought I would do. ","[0.6933679779370625, 0.6849911386768024, 0.7303324341773987, 0.7858990381161373, 0.11301341916744909, 0.8116832673549652, 0.7874249120553334]",sadness
shame,I insulted the girl to whom I had proposed when she turned me down. ,"[0.9530565738677979, 0.9663695444663365, 0.43753657241662347, 0.808072242885828, 0.13689039488478252, 0.20195950016689798, 0.9128478740652402]",disgust
guilt,"My mother had sent me to buy a few things. The change I brought back was not right as I had given away some money to a friend thinking that she would not notice it. However, my mother told me that the change was not correct. ","[0.7772197599212329, 0.6924172664682071, 0.7943521340688069, 0.9222270598014195, 0.44694339856505394, 0.6723606536785762, 0.9073847283919652]",guilt
joy,When my first child was born. ,"[0.2549073016270995, 0.0745538529008627, 0.6501988545060158, 0.6044934689998627, 0.9295625537633896, 0.5842347392657151, 0.22941699313620728]",joy
fear,I was walking through a thick forest and there was a big snake at a distance of about four metres. ,"[0.7285378376642864, 0.7736343294382095, 0.9612686683734257, 0.6609225422143936, 0.22278735189077756, 0.5042208563536406, 0.5276233007510504]",fear
anger,When my daughter began staying away from classes - at the age of nine only. ,"[0.7518588180343311, 0.5616356817384561, 0.6547905579209328, 0.795607586701711, 0.4950409630934397, 0.7868711551030476, 0.6588984777530034]",guilt
sadness,"When my wife died in hospital, she was pregnant and had undergone an operation. ","[0.6901906977097194, 0.6373280882835388, 0.8524499535560608, 0.8697818418343861, 0.3176199556425369, 0.9512958029905956, 0.7010538553198178]",sadness
disgust,When my best friend started getting involved in my private affairs. ,"[0.9016618827978771, 0.79109043131272, 0.80746694902579, 0.8296500245730083, 0.12849248511095843, 0.7232244958480198, 0.8182878444592159]",anger
shame,I was very drunk at a certain wedding party and I got involved in a fight. ,"[0.8920110960801442, 0.6174741362531979, 0.42990632727742195, 0.8704351782798767, 0.28870571420217556, 0.0835546413436532, 0.8407519112030666]",anger
guilt,I send a word to my boss through my servant telling him that I would not report for work as I was not feeling well and that the doctor had refused to give me sick leave. My intention was actually to go out of Lusaka for a week-end. I left the same day and the following morning my boss found me in Mongu. I felt guilty when asked to explain things on my return. ,"[0.008550342958187684, 0.1283048833720386, 0.18738971867909035, 0.9320153544346492, 0.052980482122317575, 0.5014214565356573, 0.7106486068417628]",guilt
joy,I received a letter of acceptance from UNZA. ,"[0.09339512543131909, 0.040927719635268055, 0.3154020666455229, 0.28072290122509, 0.8816961298386257, 0.11461419053375721, 0.10663233553835501]",joy
fear,We were driving at night and I realized that a car was following us. ,"[0.8085979123910267, 0.6167922342816989, 0.9270192434390385, 0.8158944497505825, 0.19571472378447652, 0.41952016328771913, 0.7521166925628979]",fear
anger,I reachad home to find that my baby had not been bathed and fed. ,"[0.9456180036067963, 0.8794009710351627, 0.940668707092603, 0.9491436729828517, 0.21157209565474963, 0.9465431720018387, 0.9051480541626613]",guilt
sadness,"I saw a dead child which was not covered, it had been knocked down by a car. ","[0.7238452782233555, 0.8321139812469482, 0.8748047004143398, 0.8320690443118413, 0.14573171048929603, 0.9022071957588196, 0.769487236936887]",sadness
disgust,I saw a friend's husband with another woman. ,"[0.8248276313145955, 0.8035489668448765, 0.7963988880316417, 0.846341813604037, 0.23990899386505285, 0.8347727706034977, 0.8428393652041752]",guilt
shame,I scolded my sister without waiting for her explanation. ,"[0.9901343782742817, 0.9175595293442409, 0.673037625849247, 0.8604229280414681, 0.45669778985514614, 0.1590380931738764, 0.8222498893737793]",anger
guilt,I accused my husband of being late deliberately when he came to pick me up from work. ,"[0.9806048075358074, 0.8923495610555012, 0.8319298004110653, 0.9235622112949688, 0.504205396088461, 0.5271576593319576, 0.8464200993378956]",anger
joy,When I was appointed by the Ministry of health to join the teaching staff of one of the medical colleges. ,"[0.09755764218668142, 0.03390134723546604, 0.2579207451393207, 0.2542215927193562, 0.9029448280731838, 0.0532780730475982, 0.0744909696901838]",joy
fear,"When I took blood from a patient for alcohol estimation and urine for some other examination, he told me that something bad would happen to me as he would play magic on me. ","[0.9013829429944356, 0.8503053088982899, 0.9640724360942841, 0.8663862844308217, 0.1410360248798194, 0.7297136187553406, 0.8935868243376415]",fear
anger,When the dean of UNZA asked me to vacate a big flat I was occupying and take up a smaller one as I was becoming a full time student at UNZA. ,"[0.8372953434785206, 0.7002668579419453, 0.7768566906452179, 0.7648929456869762, 0.22045527305454016, 0.8085892051458359, 0.7800288846095402]",anger
sadness,When my close friend was involved in an accident and passed away instantly. He had gone to buy a new car and had asked me to wait at his home so that I could see his new car. ,"[0.5037603552142779, 0.364855095744133, 0.795024897903204, 0.7245229929685593, 0.11897730563456814, 0.940908819437027, 0.6139609863360723]",sadness
disgust,When I was told that the brother who was staying with me would not go to the training school that year but only the year after. ,"[0.7648043036460876, 0.6722758375108242, 0.7825897584358852, 0.7837738047043483, 0.3505970138746003, 0.8918758233388264, 0.7570428848266602]",sadness
shame,"A patient, to whom I had given a powerful medicine, shouted at me in front of many people. I realized that he did so because he was very ill. ","[0.8670245210329692, 0.60616930325826, 0.7162952857712905, 0.5945570667584738, 0.2313718790343652, 0.18282644667973122, 0.43353740250070893]",anger
guilt,When I broke up my relationship with my former girlfriend as she would ask me irrelevant quetions about my past. ,"[0.7838918169339497, 0.6434142316381137, 0.6451618373394012, 0.6023364365100861, 0.2558814200262229, 0.735812820494175, 0.7145233874519665]",anger
joy,When I received my promotion letter. ,"[0.017244880786165595, 0.007137145653056601, 0.17527711391448975, 0.21055285477389893, 0.9510030647118886, 0.021801697943980493, 0.01858555826280887]",joy
fear,"I was sleeping when I heard the neighbours screaming, I peeped through the window and saw a thief trying to enter my neighbour's house. ","[0.9474055071671803, 0.7802792663375537, 0.9759961764017742, 0.8879300107558568, 0.28446314852529514, 0.5966567592695355, 0.7510517065723736]",fear
anger,"I was annoyed when a person higher up asked me why a particular job was not done, it was not my job to do it. ","[0.752177615960439, 0.5026138387620449, 0.051323173722873136, 0.5181503469745319, 0.3338661134281817, 0.2272564833983779, 0.07564469752833247]",anger
sadness,"My brother came to tell me about some problems we had in the family. I felt sad because I thought that if my mother had not gone away when this brother was younger, things would have been different. ","[0.0011111181011074223, 0.10543322841598031, 0.07753560275887139, 0.9273750086625416, 0.23930999449900509, 0.9629230250914891, 0.1501575168222189]",sadness
disgust,"I was in a train when a woman started talking loudly and attracting everybody's attention. The worst thing was that she was discussing something, about which she knew nothing, with another person. ","[0.8786653031905491, 0.9081766059001286, 0.8771886179844539, 0.7615638921658199, 0.1442837594076991, 0.48569926619529724, 0.8919868121544521]",disgust
shame,After a jogging session I had severe abdominal cramps and this lead to my wanting to empty my bladder. My friends gathered around me and two of them had to help me to the toilet. I was ashamed at having to go to the toilet in the presence of my friends. ,"[0.24904153030365705, 0.9479772001504898, 0.8326890760411818, 0.9307663391033809, 0.07359369278128725, 0.7053358554840088, 0.989144966006279]",shame
guilt,"A certain woman had asked me to make something for her and I kept putting it off. When I finally made it, I did not see her for days only to be told one day that she had collapsed and died. I felt quite guilty as she had jokingly said that I might not do what she had requested me to do. ","[0.2322710445150733, 0.38879966068392, 0.8489256203174591, 0.9771605581045151, 0.38172397027665284, 0.954469049970309, 0.8715136721730232]",guilt
joy,When I was accepted for my third year (G-) at my former secondary school. ,"[0.0898895806943377, 0.03420451995528614, 0.20258618208269277, 0.2761381852130095, 0.8966225932041805, 0.07385676323125759, 0.05128970524917047]",joy
fear,I had gone for a medical check-up at the U. T. H and failed to make it back on time for the C practical sessions at hours last academic year. ,"[0.7329004655281703, 0.6486665761719148, 0.8064617117245991, 0.8914315203825633, 0.1469595249121388, 0.808602084716161, 0.8500610093275707]",guilt
anger,When I was mistreated by my step-mother. ,"[0.827929029862086, 0.8652548491954803, 0.8196623971064885, 0.7469867095351219, 0.09368577205653612, 0.7735769071926673, 0.83821140229702]",disgust
sadness,When my aunt passed away in early . ,"[0.536920537551244, 0.4911207339415947, 0.7195322637756665, 0.7760923380653064, 0.4236712568672374, 0.9369471619526546, 0.5395870159069698]",sadness
disgust,When I failed to secure employment after my form in Lusaka despite my excellent certificate. ,"[0.7953120718399684, 0.7440448266764481, 0.7890695383151372, 0.7359867990016937, 0.08405889508624871, 0.8831038177013397, 0.8165144622325897]",sadness
shame,When I failed my grade exam at the first attempt in . My father and the entire family thought that I was finished in life. I really felt like hiding. ,"[0.6229606447741389, 0.8028762241204579, 0.9661106367905934, 0.8549331252773602, 0.098725862626452, 0.9468610783418019, 0.9797028005123138]",shame
guilt,When I beat up a first year student at my secondary school in my capacity as the deputy head boy. He had woken up late in the morning for manual work. ,"[0.9358626405398052, 0.8072086920340855, 0.6709090893467267, 0.8635321855545044, 0.18093585021172962, 0.09687919223991533, 0.694492722551028]",anger
joy,When I heard that someone who is very close to me did very well in the exams despite having fooled around a lot. ,"[0.7800301015377045, 0.7524295796950657, 0.583850808441639, 0.8354446937640507, 0.8625965515772502, 0.6200174583743017, 0.7596188584963481]",joy
fear,When a drunkard barged into a room where my friend and I had run in order to get away from him. We were all alone and all I could see was this hand coming towards me. ,"[0.4434489731987318, 0.2273267439256112, 0.8381479283173878, 0.3359235661725203, 0.025597503282673035, 0.06894413948369524, 0.2727628784875075]",fear
anger,When a friend and me played a joke on our boyfriends. Her boyfriend came up and accused me of having planned the whole thing and said that I did not deserve my boyfriend. He embarassed me in front of a crowd. ,"[0.9483948200941086, 0.9354242930809658, 0.8949280381202698, 0.9472948114077251, 0.24710813785592714, 0.655170018474261, 0.9904492696126301]",shame
sadness,When my family and I heard of the death of my grandfather. We had seen him a few weeks earlier and it seemed that he had just been waiting to see us. ,"[0.44830612077688176, 0.3165783944229285, 0.7151880189776421, 0.5356348355611165, 0.29344161944269825, 0.9386268605788548, 0.4932570604917904]",sadness
disgust,When a boy put a handful of cooked potatoes down my dress and there was no water to clean up. ,"[0.9595576028029125, 0.9299356043338776, 0.9464473128318787, 0.9403468022743862, 0.13110323048507175, 0.91533562541008, 0.9536407093207042]",anger
shame,When a soppy poem that I had written to a boy was found and every one read it and started teasing me about it. ,"[0.4814658417211225, 0.041634710816045604, 0.25410947878845036, 0.7025551547606785, 0.2975280234531965, 0.937896157304446, 0.8447701260447502]",sadness
guilt,When my boyfriend asked me to go out with him and I refused because I wanted to go out with another guy. I did go out and my boyfriend found out. ,"[0.5900974149505298, 0.41853881534188986, 0.3092458837976058, 0.7591437498728435, 0.05223825065574298, 0.3842110695938269, 0.6987066318591435]",guilt
joy,"After a long time (of no communication with him, physical illness and worry) my lover came to see me, when I least expected to see him. ","[0.009205354222406942, 0.005453420211172973, 0.6391715463250875, 0.2990580896536509, 0.5979995230833689, 0.2009937152809774, 0.08506364651839249]",fear
fear,Birds had made nests in our thatched roof and they were flying and flapping their wings in the bedroom at night. It was very dark and I could not even see my nose. I did not know that it was the birds till my mother told me so. ,"[0.7418539375066757, 0.6710932031273842, 0.9135344326496124, 0.7777034590641658, 0.38592125475406647, 0.7035852285722892, 0.7775031427542369]",fear
anger,The juniors in our dormitory at school started to complain and make a lot of noise about the duties assigned to them by the prefect who was my class-mate and was very cool and dull. ,"[0.6736557856202126, 0.5977141583959261, 0.5538171740869681, 0.5189859283467133, 0.2635751392226666, 0.22963988967239857, 0.5263596586883068]",anger
sadness,My elder sister scolded me in front of my younger sisters and cousins. She said that I was very lazy and I felt so sad that I cried myself to sleep. ,"[0.40520137481507845, 0.42216592468321323, 0.2943149538865934, 0.9322561969359715, 0.3898151732889043, 0.9838749368985493, 0.9365968753894169]",sadness
disgust,"On Christmas day a drunk man came to our house without a shirt on, he dansed, spoke nonsense and behaved stupidly. ","[0.8808916509151459, 0.8481807510058086, 0.8271696319182713, 0.7952407523989677, 0.23549224187930423, 0.4664139710366726, 0.8874082018931706]",shame
shame,When I wet my bed at boarding school. ,"[0.7994609872500102, 0.86410291492939, 0.8620372712612152, 0.9114451607068379, 0.12123906410609682, 0.8219199950496356, 0.8978302925825119]",guilt
guilt,"My baby sister was - months old and when I was trying to get her on my back, she slipped and fell. ","[0.8667870759963989, 0.8245514308412869, 0.9437721073627472, 0.9602882266044617, 0.16914791939780116, 0.9055983796715736, 0.896332174539566]",guilt
joy,My son was registered to get admission in grade one of the primary school. The chances of him getting a place there was /. Two weeks later I was informed that he had been enrolled. ,"[0.3077303643027941, 0.2054380460952719, 0.62721948325634, 0.5694324473539989, 0.7383374472459157, 0.21469896348814171, 0.20401553809642792]",joy
fear,"When I came back from work one day, the friends of my son told me that he had not come back from school and that he was lost. ","[0.8451171914736431, 0.6080068474014599, 0.9474768191576004, 0.9277639736731846, 0.46326684501642984, 0.9412597368160884, 0.8353122770786285]",fear
anger,My room-mate locked up our room without specifying where I would find the keys. I had to spend several hours in my other friend's room. ,"[0.8517683893442154, 0.7040146216750145, 0.8754311949014664, 0.8838367114464443, 0.0914760191614429, 0.864721233646075, 0.7956106066703796]",guilt
sadness,"I lost my grandfather whom I loved very much. I had not known that he had been ill for a very time, when I received this message he was already dead. ","[0.5019101231979827, 0.45156940124919254, 0.7955344567696254, 0.8072818194826443, 0.3966951477074569, 0.9677577614784241, 0.6698866933584213]",sadness
disgust,"The teacher of one course gave me questions with sub-questions going from a to e for each question. She asked me to do all this in one and a half hours. It involved a lot of describing and explaining and even though I knew all the answers, I could not finish the work. ","[0.48413507888714474, 0.44901518151164055, 0.6365576858321826, 0.6175639430681865, 0.13240259264906248, 0.32214157159129775, 0.6211638202269871]",fear
shame,I forgot that the course instructor had directed us to go for special classes after the usual class hours. I missed this the first day and when he asked me about it the next day I said that I had forgotten. ,"[0.5120445763071377, 0.47058871264259017, 0.6474259073535602, 0.8296746015548706, 0.39385009246567887, 0.6361916114886601, 0.8369100193182628]",shame
guilt,I was to inform the neighbour on my left that a robber had been spotted the same evening near the house of the neighbour in front. I did not do it and the same day the thieves broke into this neighbour's house. ,"[0.7662785351276398, 0.6588834112820525, 0.8474648892879486, 0.9441332469383876, 0.10025079183590908, 0.7406705456475418, 0.86843641102314]",guilt
joy,When my father bought me a suit. ,"[0.1553594811509053, 0.05369456872964899, 0.24940569574634236, 0.4334594725320736, 0.8157864262660344, 0.06813910161145031, 0.1680521114418904]",joy
fear,After having taken an exam i feared having failed it. ,"[0.064389379384617, 0.28402000991627574, 0.955929309129715, 0.761639120678107, 0.06866615667240694, 0.4326316059256593, 0.8005884562929471]",fear
anger,I was badly beaten up by one of my friends during a wedding party. ,"[0.9208614875872929, 0.8095876375834148, 0.8846683750549953, 0.8508616735537846, 0.06648743338882923, 0.7037012043098609, 0.8709160089492798]",anger
sadness,I was very sad at hearing that my grandfather had passed away. ,"[0.0014489218786669276, 0.026016480832671125, 0.23850266656760746, 0.2883470373538633, 0.4114012256128869, 0.9876734217007954, 0.14757364918477833]",sadness
disgust,I was disappointed by a girlfriend when I visited her at her home in Woodlands. ,"[0.583416203657786, 0.688854385788242, 0.06951631737562516, 0.6417973041534424, 0.014417209633393213, 0.8677848142882187, 0.8153136844436328]",sadness
shame,I was ashamed at being the only one to have got a C+ in ED assignment. ,"[0.127739307587035, 0.9166520734628041, 0.4001371661822001, 0.9529930700858433, 0.032467417996182725, 0.7047164825101694, 0.9944316546122234]",shame
guilt,I was caught stealing a box of matches in the supermarket and had to plead guilty. ,"[0.7530352398753166, 0.7227626790603001, 0.8130248834689457, 0.9570661187171936, 0.14679781487211585, 0.682817280292511, 0.8995304852724075]",guilt
