labels,text,emotion,probs_synonyms
guilt,Stealing money from a milk token jar from a close friend of the family when visiting. ,guilt,"[0.9343248009681702, 0.9857236742973328, 0.2369741052389145, 0.8553910851478577, 0.9624767899513245, 0.6476404070854187]"
joy,Talking with someone I admire a lot. ,joy,"[0.8538929224014282, 0.8562489748001099, 0.9845817685127258, 0.8867396712303162, 0.9171457886695862, 0.8270536065101624]"
fear,Held under water by a large wave and thought I was drowning. ,fear,"[0.9939234852790833, 0.9871885180473328, 0.9829503297805786, 0.9926059246063232, 0.9907724857330322, 0.9929363131523132]"
anger,Came back from surfing to find car broken into and gear and money stolen. ,anger,"[0.943828284740448, 0.9689355492591858, 0.8847829699516296, 0.9426149129867554, 0.9049890041351318, 0.9741536974906921]"
sadness,Caused a family disturbance. ,guilt,"[0.4044308662414551, 0.9354521036148071, 0.5491433143615723, 0.4797983169555664, 0.17693261802196503, 0.3662249445915222]"
disgust,Friends calling me fat - pear shaped in front of a nice girl. ,shame,"[0.907658576965332, 0.7749938368797302, 0.8614488244056702, 0.7996403574943542, 0.9649832248687744, 0.713138997554779]"
shame,When I considered writing a load of crap for this emotion. ,sadness,"[0.4081411361694336, 0.6076564788818359, 0.5199793577194214, 0.5451686978340149, 0.5815807580947876, 0.8982719779014587]"
guilt,Beating my brother up. ,anger,"[0.9498358964920044, 0.974113404750824, 0.8965928554534912, 0.8160208463668823, 0.8924072980880737, 0.5513756275177002]"
joy,"I was ""best man"" at my brother's wedding a year ago. ",guilt,"[0.8710580468177795, 0.33249303698539734, 0.8153402805328369, 0.7657256126403809, 0.924679160118103, 0.590476393699646]"
fear,Mugged while on holiday in the U. S. A. ,anger,"[0.8575398325920105, 0.7552980780601501, 0.5376299023628235, 0.7710069417953491, 0.6602170467376709, 0.8665134906768799]"
anger,"I am one of four directors of a company. We inherited land held by our family - ours is the th generation. A ""democratic"" decision was made to stap-bank an area of mangroves. ",guilt,"[0.1476922482252121, 0.3043799102306366, 0.06306639313697815, 0.14231960475444794, 0.05424802750349045, 0.3398725092411041]"
sadness,Social situation - at the pub - a close friend of years told the group around us of advances I had made. ,guilt,"[0.5318306684494019, 0.7216559648513794, 0.2422405183315277, 0.2897662818431854, 0.00969858467578888, 0.040452439337968826]"
disgust,A drunk walked out in front of a car at night. Both lower legs were broken. His shoe was thrown about yards after the accident. ,sadness,"[0.7753260135650635, 0.614332377910614, 0.642804741859436, 0.4090580344200134, 0.9411147832870483, 0.7750493884086609]"
shame,"My father died years ago, months after my mother died. I feld my sister was responsible for his death, in that she ""hadn't loved him"". I felt ashamed for myself, and for my family. ",shame,"[0.993550181388855, 0.9851122498512268, 0.9871734380722046, 0.9607110619544983, 0.9266517162322998, 0.7827920913696289]"
guilt,My grandmother wanted me to help her. I was driving a tractor pulling a dead branch off a tree. I told her she didn't respect me. ,anger,"[0.46931537985801697, 0.8499453663825989, 0.8636096119880676, 0.5493507981300354, 0.8251557350158691, 0.26211437582969666]"
joy,Hearing my girlfriend accept my offer of marriage. ,joy,"[0.8900321125984192, 0.7678564190864563, 0.9001809358596802, 0.8633485436439514, 0.9334484338760376, 0.7766053080558777]"
fear,Canoeing across harbour in winds - knots and rising seas. ,guilt,"[0.9172205328941345, 0.5890173316001892, 0.9185751080513, 0.7319139838218689, 0.8455178141593933, 0.909098207950592]"
anger,Brother continually interupting while I was talking on the telephone. ,anger,"[0.8138282299041748, 0.969982922077179, 0.6369897127151489, 0.8092164397239685, 0.6921260952949524, 0.9755926728248596]"
sadness,Hearing of the death of a friend who had been skiing. ,sadness,"[0.9912364482879639, 0.9825273156166077, 0.9915906190872192, 0.9895750880241394, 0.9494112133979797, 0.9467509388923645]"
disgust,Flicking through a magazine showing pictures of homosexual men committing various acts. ,joy,"[0.7438578009605408, 0.6619183421134949, 0.6498357057571411, 0.782609760761261, 0.8837741017341614, 0.6367728114128113]"
shame,Being caught by parents in a compromising situation with girlfriend. ,fear,"[0.9037768244743347, 0.9419406652450562, 0.9628829956054688, 0.8900425434112549, 0.9423125982284546, 0.8684957027435303]"
guilt,Describing to mother how a hole in the wall had appeared while I was babysitting. ,fear,"[0.916975736618042, 0.938633382320404, 0.9726696014404297, 0.7224779725074768, 0.7797483801841736, 0.9079016447067261]"
joy,When I found out I had passed all of my university exams. ,joy,"[0.9117310643196106, 0.9827368259429932, 0.9363688230514526, 0.8595516085624695, 0.9402670860290527, 0.8186872601509094]"
fear,Almost crashing into the back of a car while driving along the motorway on my motorcycle. ,fear,"[0.9710186719894409, 0.8951378464698792, 0.9587522745132446, 0.9128198623657227, 0.892827033996582, 0.9797048568725586]"
anger,When my girlfriend of two years told me it was all over. ,sadness,"[0.7960846424102783, 0.7782490253448486, 0.5261725783348083, 0.8064833879470825, 0.6877734661102295, 0.8693752884864807]"
sadness,"A person I really like left for overseas for a few months, I had hoped to go out with her soon. ",anger,"[0.9402315020561218, 0.9596241116523743, 0.7140071988105774, 0.8649212121963501, 0.8792403340339661, 0.5361689925193787]"
disgust,"I deliberately avoided a person who I wanted to hurt, and who wanted to talk to me. ",guilt,"[0.6424509882926941, 0.7681329846382141, 0.9304804801940918, 0.8605561256408691, 0.9397557973861694, 0.8256251215934753]"
shame,I passed on some gossip that was untrue and cause two friends to have a fight who were already experiencing difficulties with each other. ,guilt,"[0.8086763620376587, 0.8074825406074524, 0.8443121910095215, 0.7553356289863586, 0.863977313041687, 0.8326409459114075]"
guilt,Missing lectures and avoiding university work for no reason when it had to be done. ,shame,"[0.8686110973358154, 0.9304171204566956, 0.7772203683853149, 0.6332213878631592, 0.8345836997032166, 0.8795901536941528]"
joy,When I received my U. E. accredited as I was totally unexpecting it and I was so happy. ,joy,"[0.9966661334037781, 0.9423589706420898, 0.9958912134170532, 0.9118132591247559, 0.9978815913200378, 0.8985545635223389]"
fear,"I went to see a movie and I went with a friend, it was really frightening and it made me stop and think about the world around me and what it is really like out there. I was frightened all that night. ",fear,"[0.9952799081802368, 0.9832093119621277, 0.9001731276512146, 0.9938561320304871, 0.9333036541938782, 0.9907407760620117]"
anger,"When my flatmate put me down because she ""thought"" she was better than me, or she felt she was. ",guilt,"[0.7565272450447083, 0.8730848431587219, 0.3978337347507477, 0.7033470273017883, 0.4602168798446655, 0.9308089017868042]"
sadness,When a very close friend of mine went into hospital for a major operation and I couldn't see her for a while as I was not a relative she had no relatives in N. Z. ,sadness,"[0.9148908853530884, 0.8559319972991943, 0.8688622713088989, 0.8649857044219971, 0.8059150576591492, 0.5892425775527954]"
disgust,One of my very good friends came to me for advice as her boyfriend had been hitting her and beating her quite harmfully. ,anger,"[0.5934693813323975, 0.4727840721607208, 0.5551292896270752, 0.46210962533950806, 0.8717045187950134, 0.8005022406578064]"
shame,When I let my girlfriend use my essay to help her to write hers and the tutor found them alike. ,guilt,"[0.6786791682243347, 0.7120875716209412, 0.7476086020469666, 0.5971495509147644, 0.7236360907554626, 0.7247053980827332]"
guilt,When I had to lie to my boyfriend so that he wouldn't suspect I'd bought him a xmas present as expensive as I had. ,guilt,"[0.9520314335823059, 0.9622130393981934, 0.9635540246963501, 0.8256678581237793, 0.9056602120399475, 0.9139261245727539]"
joy,"I received an assignment back, and got an A+ grading. ",joy,"[0.836571216583252, 0.9705133438110352, 0.889187753200531, 0.8133239150047302, 0.8888030648231506, 0.7477028369903564]"
fear,"I was walking home one night (after getting a bus to my town) when I was confronted by a group of males (about ), they would not let me pass - they made comments etc. - I crossed the road and hurried home. ",fear,"[0.9344733953475952, 0.7641550898551941, 0.8989675641059875, 0.8540686964988708, 0.7994353771209717, 0.9629530906677246]"
anger,"I lent a text-book to a person I did not know very well, they lost the text-book and gave me no compensation. ",guilt,"[0.9227535724639893, 0.9666951298713684, 0.7981569766998291, 0.9116515517234802, 0.8263763785362244, 0.9672538638114929]"
sadness,At the beginning of the year I moved to a new city - I felt sad as I had to leave many friends and family members behind. ,sadness,"[0.9985719919204712, 0.9878169894218445, 0.985245406627655, 0.99505215883255, 0.9158433675765991, 0.6909090876579285]"
disgust,I read a newspaper article about dogs being stolen in order to use them for fighting purposes. ,sadness,"[0.9220504760742188, 0.8584699034690857, 0.8127455115318298, 0.7907849550247192, 0.9724025130271912, 0.9156210422515869]"
shame,I was amongst a group of people talking about how the Maori people were stirrers and causing trouble in our country. I felt shame to be a pakeha when other pakehas had such narrow conservative views. ,shame,"[0.9967987537384033, 0.9940945506095886, 0.9945662021636963, 0.9938162565231323, 0.9817177057266235, 0.9205588102340698]"
guilt,I took my father's car to church one Sunday (I told them that's where I was going ) I decided instead to go for a drive to the beach - on the way I got a puncture. ,guilt,"[0.7997730374336243, 0.878176748752594, 0.930735170841217, 0.7804667353630066, 0.5989612340927124, 0.812089204788208]"
joy,Getting University Entrance accredited and arriving home from boarding school on accrediting leave. ,joy,"[0.7792719006538391, 0.8845432996749878, 0.7536614537239075, 0.6671627759933472, 0.8718783855438232, 0.3797330856323242]"
fear,Thinking that I had been seen smoking at school by a teacher - waiting to be summoned to the headmaster's office. ,fear,"[0.98856121301651, 0.9175556898117065, 0.9913479685783386, 0.9624038934707642, 0.9875878691673279, 0.9853801131248474]"
anger,When my mother rejected my boyfriend and made unfair judgements on him. ,shame,"[0.941484808921814, 0.9270764589309692, 0.7722419500350952, 0.9184012413024902, 0.8346628546714783, 0.9509412050247192]"
sadness,At my grandfather's funeral - My grandparents virtually raised me as my mother was a solo-parent and had to work. ,guilt,"[0.9843324422836304, 0.80251544713974, 0.9832497239112854, 0.979502260684967, 0.7272722125053406, 0.552269697189331]"
disgust,Watching a TV documentary on seal clubbing. ,disgust,"[0.9000017046928406, 0.8489341735839844, 0.7566181421279907, 0.8351947665214539, 0.9444000720977783, 0.9009693264961243]"
shame,I ate very fattening food in front of my boyfriend who would like me to lose weight. I am supposedly pursuing a modelling career but first I must lose weight. I had been trying to diet. ,guilt,"[0.803776741027832, 0.837380051612854, 0.9065029621124268, 0.7910480499267578, 0.7520552277565002, 0.7311939597129822]"
guilt,"I let my pet budgie loose to fly around my room one afternoon. A few hours afterwards I found he was still free, went in and out of my room leaving the door open. My cat got in and killed my budgie - this happened to budgies. ",fear,"[0.9760417938232422, 0.9756994247436523, 0.9777359962463379, 0.9186574816703796, 0.9406895041465759, 0.9841460585594177]"
joy,The birth of my first child. ,joy,"[0.9174918532371521, 0.8958910703659058, 0.8816245198249817, 0.8137772679328918, 0.9419957995414734, 0.8451502323150635]"
fear,A large german shepherd dog ran and barked at me (he didn't bite fortunately). ,anger,"[0.9438550472259521, 0.722089409828186, 0.9210413694381714, 0.8772158622741699, 0.7772705554962158, 0.9682691097259521]"
anger,Most recently when the chairman at the New Zeeland Rugby Union announced that the All Blacks' would accept the invitation of South Africa to play rugby in that country. ,guilt,"[0.5849921107292175, 0.6594332456588745, 0.36986663937568665, 0.4614262878894806, 0.3546050786972046, 0.8064160943031311]"
sadness,When I was told a friend's baby had been born with only partial sight. This was her first child and she was not young (the mother that is). ,sadness,"[0.9670044779777527, 0.9487243294715881, 0.9582275748252869, 0.9549732208251953, 0.2817516028881073, 0.7509480714797974]"
disgust,When I first saw the state of a cafeteria in the grounds of the university. Due to students own lack of concern for the environment in which they eat and drink. Rubbish and spilled tea and coffee left everywhere. ,anger,"[0.9637700319290161, 0.9075798392295837, 0.8720477819442749, 0.9137747287750244, 0.9747024774551392, 0.9420870542526245]"
shame,"When I as a Pakeha (white) new Zealander, was just as racially prejudiced as other people whom I had condemned. ",guilt,"[0.8117629289627075, 0.8314725160598755, 0.8587626218795776, 0.7959921360015869, 0.7430049777030945, 0.7973029613494873]"
guilt,When my husband discovered I was having an affair with another man. ,shame,"[0.9601636528968811, 0.9668523073196411, 0.9402873516082764, 0.6725730895996094, 0.9371764063835144, 0.9553264379501343]"
joy,"I was biking with my boyfriend, the sun shining after a long period of bad beather, afterwards we spent the evening and night together. ",joy,"[0.959785521030426, 0.6046839356422424, 0.972038984298706, 0.8641495108604431, 0.98115473985672, 0.8375098705291748]"
fear,"I was hitchhiking and was picked up by a stranger he drove into the woods and wanted to make love with me, I refused and escaped from the car. When walking in the wood and hearing the car I was afraid. ",fear,"[0.9956166744232178, 0.949457049369812, 0.9885544180870056, 0.9715836048126221, 0.9656850099563599, 0.9932158589363098]"
anger,In a discussion the leader wanted to stop because she was of the opinion that we were not involved and she misjudged our reactions as negative. We however only posed several questions which she couldn't answer. ,anger,"[0.27626386284828186, 0.6751168966293335, 0.09824904799461365, 0.08451002091169357, 0.0725419893860817, 0.8069996237754822]"
sadness,When my grandmother died. She stayed with us until I had the age of . When she died I was and I remember the moment after the funeral I sat on the table and cried. ,sadness,"[0.9927794337272644, 0.9744716882705688, 0.991248607635498, 0.9907152652740479, 0.9248583912849426, 0.7261441946029663]"
disgust,When I heard about the disaster in Bophal (India). ,sadness,"[0.8501849174499512, 0.8075391054153442, 0.6907069683074951, 0.5188146829605103, 0.9297735095024109, 0.8761292099952698]"
shame,"Once in a public ladies room, I opened the door of a cubicle that was taken, although it was not locked. ",guilt,"[0.6998161673545837, 0.7806618809700012, 0.842147946357727, 0.579468846321106, 0.7060306072235107, 0.6626284122467041]"
guilt,"In a playground I was playing at the seesaw with a little niece. I wanted to stop but nobody came to help me. When I got off, all alone the seesaw fell down with a big smash. My niece got hurt above her eye. Now there is a scar. ",guilt,"[0.9411563873291016, 0.9660682082176208, 0.9698394536972046, 0.8913856744766235, 0.962981641292572, 0.9614051580429077]"
joy,When passing the final examinations for social worker. ,joy,"[0.8770366907119751, 0.9735756516456604, 0.8867702484130859, 0.7941996455192566, 0.916641891002655, 0.8500197529792786]"
fear,"Sleeping alone in a tent, while hearing several noises such as rustling etc, I am afraid that there are people who are up to no good. ",fear,"[0.9986041188240051, 0.9397346377372742, 0.9932910203933716, 0.9767016172409058, 0.9882960915565491, 0.9971683621406555]"
anger,"A man kept a seat taken by putting his coat on it after a while the chair was still empty, I asked him if I could use the chair, he didn't agree for the chair was for his coat. ",guilt,"[0.6268423199653625, 0.9039157032966614, 0.3032693564891815, 0.5633269548416138, 0.3197490870952606, 0.9143198132514954]"
sadness,When the relationship with my girlfriend broke up. ,sadness,"[0.9578256011009216, 0.9737781286239624, 0.9169198274612427, 0.935578465461731, 0.9432931542396545, 0.8592885732650757]"
disgust,A piece of work was marked as bad by the teachers I and some fellow students didn't agree with their vague criticism. I felt myself taken in by the teachers and felt disgust. ,sadness,"[0.9882379174232483, 0.937627911567688, 0.8504441976547241, 0.7452415823936462, 0.9827123880386353, 0.9706526398658752]"
shame,Some weeks ago I experienced a day that everything went wrong I broke several things I felt very ashamed for I am not a sloven. ,shame,"[0.9949854612350464, 0.9918056726455688, 0.9938969016075134, 0.973581075668335, 0.9599336981773376, 0.9123963713645935]"
guilt,"I had made an appointment with a girl to go to the movies, but actually I had no mind when we arrived at the cinema, it was a full house. I then went back and she went to the movie alone. ",anger,"[0.5729532837867737, 0.8774916529655457, 0.7200636267662048, 0.5498790144920349, 0.8844967484474182, 0.8039454221725464]"
joy,A friend came to tell me that her father invited me to go on holiday with them in Benidorm otherwise I could not afford to go on holiday. ,guilt,"[0.6347140669822693, 0.2909175157546997, 0.7649852633476257, 0.7072464227676392, 0.8103441596031189, 0.5287632346153259]"
fear,At the age of years I always had to take care of my little brother and sister I never could sleep then. I always imagined creepy men sneaking into our house. ,fear,"[0.9880858659744263, 0.9900670051574707, 0.9808305501937866, 0.9899129867553711, 0.9882750511169434, 0.9890899062156677]"
anger,"The landlord had selected a new lodger on her own, while we used to do that it was not what she had done, but how she did it that made me angry. ",anger,"[0.995648205280304, 0.9180192351341248, 0.8721157312393188, 0.8922345638275146, 0.7484639883041382, 0.9916611909866333]"
sadness,"It was a complex situation concerning a relationship with a boyfriend, I had broken the relationship for some reasons. Meanwhile, as I felt it, I had most sorrow. ",sadness,"[0.996181845664978, 0.9948161244392395, 0.9896203279495239, 0.9960737228393555, 0.4707070589065552, 0.516186535358429]"
shame,I saw a terrible accident happen and I laughed a lot of the fright and because I was nervous. ,fear,"[0.002139180200174451, 0.0063659558072686195, 0.05404053255915642, 0.0024369158782064915, 0.06075429916381836, 0.162446066737175]"
guilt,My mother wants to talk very often about her life. I dislike this because she always talks negatively about the same people whatever I do it doesn't help. ,disgust,"[0.5970288515090942, 0.8787723779678345, 0.6902768015861511, 0.7809590697288513, 0.876985490322113, 0.7312296032905579]"
joy,At the moment when I heard the result of an examination and it proved that I succeeded the second year of my study. ,joy,"[0.8975553512573242, 0.978062093257904, 0.9278827905654907, 0.7812155485153198, 0.9325675368309021, 0.8322728872299194]"
fear,I have a fobic anxiety for elevators. This anxiety is worst at the moment when the doors have to open. I have it often in the elevator at our university. ,fear,"[0.977211594581604, 0.47464147210121155, 0.9980807304382324, 0.7552415132522583, 0.8903033137321472, 0.9367888569831848]"
anger,When someone accuses me without reason and is not willing to listen to me. ,guilt,"[0.8884305953979492, 0.9136872887611389, 0.5406225323677063, 0.8135272860527039, 0.6683841347694397, 0.9510796666145325]"
sadness,My boyfriend decided to make an end to our relationship. ,sadness,"[0.9467405676841736, 0.9646264910697937, 0.8942734003067017, 0.9160804152488708, 0.8902925848960876, 0.8131822943687439]"
disgust,A person I know who tells lies and so pretending to be better than she is. ,anger,"[0.8354508280754089, 0.7080961465835571, 0.7612366080284119, 0.6138681769371033, 0.9364266991615295, 0.7833571434020996]"
shame,When I am in an auditorium with people and I ask a silly question so that everyone starts to laugh. ,guilt,"[0.0024988746736198664, 0.014422020874917507, 0.011883949860930443, 0.0021872324869036674, 0.018840549513697624, 0.027876852080225945]"
guilt,I moved to Nijmegen for my study. Soon after this my mother had to be admitted in hospital because of cardiac compliants. I knew that my moving was an important reason for this. ,guilt,"[0.7883626222610474, 0.9410580992698669, 0.9609410762786865, 0.831108808517456, 0.6906022429466248, 0.7069673538208008]"
joy,I can't give one description here. I often feel joyful when I have done things good in relation to other people especially when my friend says he loves me and I also tell him that I love him. ,joy,"[0.9756362438201904, 0.8041894435882568, 0.9645053744316101, 0.45305001735687256, 0.9656192660331726, 0.6703016757965088]"
fear,I was afraid when my first boyfriend threatened to make an end to our relationship because he didn't love me enough while I loved him very much. ,fear,"[0.9979496598243713, 0.8343853950500488, 0.9837946891784668, 0.9695382714271545, 0.970137357711792, 0.9943416118621826]"
anger,"A good friend deceived me. Because of that little quarrel our relationship finished, mainly because she was not honest. I was very angry about that. ",anger,"[0.9978795051574707, 0.9837173223495483, 0.9785912036895752, 0.9789386987686157, 0.9818848967552185, 0.994217038154602]"
sadness,I was very sad when my first boyfriend finished our relationship. ,sadness,"[0.998719334602356, 0.9957648515701294, 0.9939146637916565, 0.9972743391990662, 0.8298901915550232, 0.8702399134635925]"
disgust,I was once raped (one year ago) by a man who was a lot older than me and whom I just met. Maybe it wasn't rape but the man wanted more than I wanted to give him since there were other people in vicinity. ,sadness,"[0.5500838160514832, 0.3305206298828125, 0.45686766505241394, 0.4866972863674164, 0.8739752173423767, 0.6482152342796326]"
shame,I felt shame when I didn't study enough for my exams and as a result I failed. I then invented idle stories to talk it good for myself and the others. ,shame,"[0.9974330067634583, 0.9939139485359192, 0.9870085120201111, 0.9857267737388611, 0.9600194692611694, 0.912765622138977]"
guilt,I felt guilty when I once went out with another boy and made love with him while I had a close boyfriend. ,disgust,"[0.9986898303031921, 0.9845576286315918, 0.9734736084938049, 0.834916889667511, 0.8823423385620117, 0.9741499423980713]"
joy,When my boyfriend came back after being away for days. ,guilt,"[0.8656643033027649, 0.4089743494987488, 0.9381197690963745, 0.775955855846405, 0.910049319267273, 0.6280155181884766]"
fear,When I was sitting in a car next to a man who was masturbating. ,joy,"[0.7588502168655396, 0.783566415309906, 0.774459958076477, 0.6532257795333862, 0.679149329662323, 0.7996132373809814]"
anger,"When my mother told things to my sister, which I told my mother in confindence. ",guilt,"[0.7284966707229614, 0.8076553344726562, 0.5107384324073792, 0.5980983972549438, 0.564936101436615, 0.8352555632591248]"
sadness,Tonight in bed when I realised how bad my relationship with my friend was. ,sadness,"[0.9271355271339417, 0.9800793528556824, 0.731573760509491, 0.8600766658782959, 0.7959949374198914, 0.7265869975090027]"
disgust,"When I was in Eindhoven on an Exhibition of Hernan Nitsche, who made paintings with real blood. There were also photographs about the killing of cows. ",guilt,"[0.7904302477836609, 0.8315673470497131, 0.8439233899116516, 0.6768617033958435, 0.8456233143806458, 0.8228678703308105]"
shame,When I made an end on a relationship after three years. ,sadness,"[0.177448570728302, 0.1917582005262375, 0.18153908848762512, 0.11761555075645447, 0.2331986427307129, 0.2983821630477905]"
guilt,That I didn't want my friend to leave on holiday for days because I thought I would miss him. I was constantly trying to persuade him. ,sadness,"[0.7792753577232361, 0.6881029009819031, 0.4475272297859192, 0.5556727051734924, 0.42748507857322693, 0.9865533709526062]"
joy,When I was making music together with my friend. It sounded very good and we were very satisfied. ,joy,"[0.9161343574523926, 0.9467378854751587, 0.9893765449523926, 0.8891431093215942, 0.9786480665206909, 0.8188667893409729]"
fear,When my cat ran under a car and came home wounded. He could hardly walk. I didn't dare to go to a veterinarian because I was afraid he would kill him. ,fear,"[0.993067741394043, 0.9587265253067017, 0.9767792820930481, 0.9748064279556274, 0.9773697257041931, 0.9877005815505981]"
anger,I had to unscrew something on my car. I didn't succeed after two afternoons of trying. A feeling of anger built up itself. ,anger,"[0.997401237487793, 0.45316749811172485, 0.7898386716842651, 0.6910628080368042, 0.8137800693511963, 0.8904404640197754]"
sadness,"Losing my girlfriend who made an end to our relationship. By this I lost an important source of support, certainty and joyful moments. I cried very intensly when that happened. ",sadness,"[0.9960333704948425, 0.9859498143196106, 0.9821886420249939, 0.9939671754837036, 0.8994157910346985, 0.27574440836906433]"
disgust,A few days ago I saw two dandy girls of my age. I disliked their clothes and their way of doing. ,sadness,"[0.9533565640449524, 0.7186666131019592, 0.7793930768966675, 0.8969472646713257, 0.9934055805206299, 0.9571999907493591]"
shame,"During carnaval I danced for a few minutes normally I don't dance because I am rigid in my moving around during a dance, I stopped very soon. ",guilt,"[0.043836560100317, 0.059368547052145004, 0.14857691526412964, 0.013726030476391315, 0.07593158632516861, 0.3374083340167999]"
guilt,I had a girlfriend which I used to call regularly. Then I didn't phone her for a while. At a certain moment I felt a little tension which became worse. ,sadness,"[0.4519970715045929, 0.5897217392921448, 0.7135351896286011, 0.434553325176239, 0.6329454183578491, 0.44242846965789795]"
joy,At an important moment in a volleyball game we made a point and by this we won a set from a much stronger competitor. ,joy,"[0.8871654272079468, 0.9847474694252014, 0.9001426100730896, 0.8405365943908691, 0.919792115688324, 0.7559539079666138]"
fear,When I went out with my dog in a forest late at night when we were on a camping. ,joy,"[0.7962086796760559, 0.5288999080657959, 0.7605141997337341, 0.45595648884773254, 0.44903093576431274, 0.8248724341392517]"
anger,I had an appointment with someone at a certain time. The other person didn't appear. ,sadness,"[0.8287477493286133, 0.9590810537338257, 0.5194990038871765, 0.7953794598579407, 0.6680760383605957, 0.9535475969314575]"
fear,When I entered the operation theatre and underwent a difficult operation. ,fear,"[0.8569680452346802, 0.6688109040260315, 0.8584743738174438, 0.6716253757476807, 0.7204525470733643, 0.8414584398269653]"
anger,"When my friends left without waiting for me, after we had arranged to go out together. ",sadness,"[0.9436838626861572, 0.9793287515640259, 0.8210427761077881, 0.9152747988700867, 0.8513590097427368, 0.9803450703620911]"
sadness,When they gave away my dog to other people without my knowledge. ,guilt,"[0.9665091037750244, 0.9708297848701477, 0.9582500457763672, 0.952492356300354, 0.7765904664993286, 0.8102056980133057]"
disgust,"When I had to eat scraps from a dust-bin, because of a bet. ",sadness,"[0.9504652619361877, 0.8746684193611145, 0.9670740365982056, 0.8437198400497437, 0.9846394062042236, 0.9065681099891663]"
shame,"At the airport, eighty beer cans that I was carrying in a bag spread all around while I was going through the metal detector. ",anger,"[0.7092792391777039, 0.7580156326293945, 0.8609339594841003, 0.7073653936386108, 0.6906203627586365, 0.6301554441452026]"
guilt,"When I took a car which was not mine, and suddenly it stopped working. ",guilt,"[0.8362793922424316, 0.9514413475990295, 0.9372891783714294, 0.711402177810669, 0.8810670971870422, 0.8854554891586304]"
joy,When the Real Madrid team of basket ball qualified for the final of the Europe Cup at Athens. ,joy,"[0.9356992244720459, 0.9716179966926575, 0.9128661155700684, 0.8755254149436951, 0.9458832144737244, 0.7330241203308105]"
fear,On the scenic railway at the fairground. ,joy,"[0.07353778928518295, 0.01278903242200613, 0.22528913617134094, 0.012165642343461514, 0.038656607270240784, 0.107913538813591]"
anger,"At having an argument with a stranger, in the street. ",sadness,"[0.9900990128517151, 0.9752705097198486, 0.8869432210922241, 0.9130983352661133, 0.8223549127578735, 0.9839178323745728]"
disgust,When I entered a toilet in a bar and it stank. ,disgust,"[0.9752794504165649, 0.9237416386604309, 0.778994619846344, 0.9290978312492371, 0.9860134720802307, 0.9521176815032959]"
joy,The day I finished my military service. ,joy,"[0.8414023518562317, 0.8740924000740051, 0.8147681355476379, 0.682850182056427, 0.9087130427360535, 0.32136833667755127]"
fear,"When I was a child, one day, I was going home late at night and I did not notice an uncovered man hole and fell in it. I was in there for several minutes. ",fear,"[0.9424944519996643, 0.9011138677597046, 0.8396600484848022, 0.8994947671890259, 0.8486288785934448, 0.9684287309646606]"
anger,"One day, when I was a child, my grandmother shut me up in a room. ",fear,"[0.8511115908622742, 0.9175825119018555, 0.6779654622077942, 0.8104409575462341, 0.7343237996101379, 0.9325354695320129]"
sadness,The day I left my first girlfriend. ,sadness,"[0.9496767520904541, 0.9457652568817139, 0.9176868796348572, 0.9268236756324768, 0.9456838369369507, 0.8048548698425293]"
disgust,"One day I was in the countryside with several friends, and we began to eat figs, after we were all full we noticed that all the figs were full of worms. ",anger,"[0.905433714389801, 0.641757071018219, 0.7079302668571472, 0.47695595026016235, 0.9055392742156982, 0.8199233412742615]"
shame,"When I got my fingers stuck in one of the side holes of the door, in the tube. ",fear,"[0.8595327138900757, 0.8791093230247498, 0.9257485270500183, 0.7344049215316772, 0.6424431800842285, 0.32979509234428406]"
guilt,I ran over my dog with a bicycle when I was carrying him tied to the handle bar. ,sadness,"[0.9680077433586121, 0.9851667284965515, 0.9674915075302124, 0.7501649260520935, 0.848176121711731, 0.9435898065567017]"
joy,When I won the first prize in a cross country race. ,joy,"[0.9562400579452515, 0.984184980392456, 0.9626720547676086, 0.8749792575836182, 0.9599485993385315, 0.8082789778709412]"
fear,I found myself involved in a fight in which a person died and I had to intervene with some risk. ,sadness,"[0.9006513357162476, 0.8726088404655457, 0.8505776524543762, 0.7510320544242859, 0.7324039936065674, 0.9431036710739136]"
anger,An argument among friends in which my opinions on the way to spend spare time were disapproved. ,sadness,"[0.8979312181472778, 0.9567227363586426, 0.31224551796913147, 0.6107868552207947, 0.2812788188457489, 0.9715476632118225]"
sadness,I was forced to leave an unforgettable friend. ,sadness,"[0.9820215702056885, 0.9671230912208557, 0.9636885523796082, 0.9758034944534302, 0.8724631071090698, 0.7481502890586853]"
disgust,I saw the gare of a prison. This gare and the building were in deplorable condition and were full of rubbish. ,disgust,"[0.9764482975006104, 0.9296414256095886, 0.8556399941444397, 0.9564571976661682, 0.978449285030365, 0.9517200589179993]"
shame,A mishap suffered on misinterpreting a girl's proposition. ,sadness,"[0.8903610706329346, 0.8168768286705017, 0.9161180257797241, 0.7950704097747803, 0.8409417867660522, 0.6886098384857178]"
guilt,"I thought that I could have avoided the above situation (the one in fear) if I had concentrated more on my work, which I hate. ",fear,"[0.8527926206588745, 0.8852857947349548, 0.7255871295928955, 0.7631837725639343, 0.6554021835327148, 0.8835700750350952]"
joy,"When I passed the last exam, which I had doudts about. ",joy,"[0.9091065526008606, 0.982671856880188, 0.9309954643249512, 0.7528237104415894, 0.9598047137260437, 0.7477467656135559]"
